song title,artist/band name,year,lyrics url
Anthem No. I (Lady Of The Lake),Sweet,1978,https://www.azlyrics.com/lyrics/sweet/anthemnoiladyofthelake.html
I Can't Stay Long,Ultravox,1978,https://www.azlyrics.com/lyrics/ultravox/icantstaylong.html
Leaving Louisiana In The Broad Daylight,"Harris, Emmylou",1978,https://www.azlyrics.com/lyrics/emmylouharris/leavinglouisianainthebroaddaylight.html
Send Down The Rain,John Williamson,1978,https://www.azlyrics.com/lyrics/johnwilliamson/senddowntherain.html
Call Me,Sweet,1979,https://www.azlyrics.com/lyrics/sweet/callme.html
American Squirm(2011 Reissue Bonus Track),"Lowe, Nick",1979,https://www.azlyrics.com/lyrics/nicklowe/americansquirm.html
Happy Birthday Darlin',Conway Twitty,1979,https://www.azlyrics.com/lyrics/conwaytwitty/happybirthdaydarlin.html
Empire State Human,"Human League, The",1979,https://www.azlyrics.com/lyrics/humanleague/empirestatehuman.html
Where Does The Lovin' Go,"Gates, David",1979,https://www.azlyrics.com/lyrics/davidgates/wheredoesthelovingo.html
When The Feeling Comes Around,Jennifer Warnes,1979,https://www.azlyrics.com/lyrics/jenniferwarnes/whenthefeelingcomesaround.html
Rock Music,Jefferson Starship,1979,https://www.azlyrics.com/lyrics/jeffersonstarship/rockmusic.html
Recruiting Soldiers,Peter Tosh,1979,https://www.azlyrics.com/lyrics/petertosh/recruitingsoldiers.html
Power Flower,"Wonder, Stevie",1979,https://www.azlyrics.com/lyrics/steviewonder/powerflower.html
It Came Upon A Midnight Clear,"Cash, Johnny",1980,https://www.azlyrics.com/lyrics/johnnycash/itcameuponamidnightclear.html
C'etait Toi (You Were The One),Billy Joel,1980,https://www.azlyrics.com/lyrics/billyjoel/cetaittoiyouweretheone.html
Holdin' Out For Love,Dan Seals,1980,https://www.azlyrics.com/lyrics/danseals/holdinoutforlove.html
21 And Over,"Romantics, The",1980,https://www.azlyrics.com/lyrics/romantics/21andover.html
Beautiful You,"Oak Ridge Boys, The",1980,https://www.azlyrics.com/lyrics/oakridgeboys/beautifulyou.html
Outside The Trains Don't Run On Time,Gang Of Four,1980,https://www.azlyrics.com/lyrics/gangoffour/outsidethetrainsdontrunontime.html
Love Or Money,Sammy Hagar,1980,https://www.azlyrics.com/lyrics/sammyhagar/loveormoney.html
